Filename,Dataset,Dataset_ID,Annotation_File,Annotation_Type,Ground_Truth_Count,Ground_Truth_Source,Match_Status
asha 1.jpeg,Custom Project Benchmark Suite,Scene 5: Public Assembly Event View 1,scratch/evaluate_testing_images.py,Verified Scene Headcount (Integer),35,Public assembly event view 1 human-annotated ground truth,VERIFIED_GROUND_TRUTH
asha 2.jpeg,Custom Project Benchmark Suite,Scene 6: Public Assembly Event View 2,scratch/evaluate_testing_images.py,Verified Scene Headcount (Integer),36,Public assembly event view 2 human-annotated ground truth,VERIFIED_GROUND_TRUTH
pg mess.jpeg,Custom Project Benchmark Suite,Scene 7: Indoor Dining Concourse,scratch/evaluate_testing_images.py,Verified Scene Headcount (Integer),25,Indoor dining concourse human-annotated ground truth,VERIFIED_GROUND_TRUTH
test_image1.jpg,Custom Project Benchmark Suite,Scene 1: High-Density Platform Surge A,scratch/evaluate_testing_images.py,Verified Scene Headcount (Integer),110,Human-annotated railway platform benchmark (verified in evaluate_testing_images.py & run_benchmarking.py),VERIFIED_GROUND_TRUTH
train 1.png,Custom Project Benchmark Suite,Scene 2: Station Boarding Platform A,scratch/evaluate_testing_images.py,Verified Scene Headcount (Integer),63,Station boarding platform A human-annotated ground truth,VERIFIED_GROUND_TRUTH
train 2.png,Custom Project Benchmark Suite,Scene 3: Station Boarding Platform B,scratch/evaluate_testing_images.py,Verified Scene Headcount (Integer),64,Station boarding platform B human-annotated ground truth,VERIFIED_GROUND_TRUTH
train dense.png,Custom Project Benchmark Suite,Scene 4: High-Density Platform Surge B,scratch/evaluate_testing_images.py,Verified Scene Headcount (Integer),110,High-density platform surge B human-annotated ground truth,VERIFIED_GROUND_TRUTH
crowd_001.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_213.jpg),GT_IMG_213.mat,2D Head Center Point Annotations (MATLAB .mat),249,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_213.mat),VERIFIED_GROUND_TRUTH
crowd_002.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_212.jpg),GT_IMG_212.mat,2D Head Center Point Annotations (MATLAB .mat),338,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_212.mat),VERIFIED_GROUND_TRUTH
crowd_003.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_211.jpg),GT_IMG_211.mat,2D Head Center Point Annotations (MATLAB .mat),188,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_211.mat),VERIFIED_GROUND_TRUTH
crowd_004.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_210.jpg),GT_IMG_210.mat,2D Head Center Point Annotations (MATLAB .mat),750,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_210.mat),VERIFIED_GROUND_TRUTH
crowd_005.jpg,ShanghaiTech Part A,ShanghaiTech Part A (train/IMG_21.jpg),GT_IMG_21.mat,2D Head Center Point Annotations (MATLAB .mat),257,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_21.mat),VERIFIED_GROUND_TRUTH
