Our_Filename,Original_Dataset,Original_Split,Original_Filename,Ground_Truth_Annotation,Ground_Truth_Count,Image_Width,Image_Height,Image_Match_Method,Annotation_Match_Method,Verification_Status,Notes
crowd_001.jpg,ShanghaiTech Part A,train,IMG_213.jpg,GT_IMG_213.mat,249,1000,749,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_002.jpg,ShanghaiTech Part A,train,IMG_212.jpg,GT_IMG_212.mat,338,1024,688,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_003.jpg,ShanghaiTech Part A,train,IMG_211.jpg,GT_IMG_211.mat,188,1024,334,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_004.jpg,ShanghaiTech Part A,train,IMG_210.jpg,GT_IMG_210.mat,750,1024,768,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_005.jpg,ShanghaiTech Part A,train,IMG_21.jpg,GT_IMG_21.mat,257,1024,766,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_006.jpg,ShanghaiTech Part A,train,IMG_209.jpg,GT_IMG_209.mat,546,1000,619,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_007.jpg,ShanghaiTech Part A,train,IMG_208.jpg,GT_IMG_208.mat,536,1024,683,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_008.jpg,ShanghaiTech Part A,train,IMG_207.jpg,GT_IMG_207.mat,131,650,442,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_009.jpg,ShanghaiTech Part A,train,IMG_206.jpg,GT_IMG_206.mat,311,1024,683,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_010.jpg,ShanghaiTech Part A,train,IMG_205.jpg,GT_IMG_205.mat,137,1017,798,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_011.jpg,ShanghaiTech Part A,train,IMG_204.jpg,GT_IMG_204.mat,549,1024,695,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_012.jpg,ShanghaiTech Part A,train,IMG_203.jpg,GT_IMG_203.mat,1957,1024,683,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_013.jpg,ShanghaiTech Part A,train,IMG_202.jpg,GT_IMG_202.mat,216,800,530,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_014.jpg,ShanghaiTech Part A,train,IMG_201.jpg,GT_IMG_201.mat,445,800,530,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_015.jpg,ShanghaiTech Part A,train,IMG_200.jpg,GT_IMG_200.mat,100,760,500,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_016.jpg,ShanghaiTech Part A,train,IMG_20.jpg,GT_IMG_20.mat,408,1024,688,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_017.jpg,ShanghaiTech Part A,train,IMG_2.jpg,GT_IMG_2.mat,707,1024,713,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_018.jpg,ShanghaiTech Part A,train,IMG_199.jpg,GT_IMG_199.mat,658,1024,505,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_019.jpg,ShanghaiTech Part A,train,IMG_198.jpg,GT_IMG_198.mat,351,650,415,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_020.jpg,ShanghaiTech Part A,train,IMG_197.jpg,GT_IMG_197.mat,460,800,600,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_021.jpg,ShanghaiTech Part A,train,IMG_196.jpg,GT_IMG_196.mat,580,1024,684,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_022.jpg,ShanghaiTech Part A,train,IMG_195.jpg,GT_IMG_195.mat,243,1024,665,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_023.jpg,ShanghaiTech Part A,train,IMG_194.jpg,GT_IMG_194.mat,296,688,801,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_024.jpg,ShanghaiTech Part A,train,IMG_193.jpg,GT_IMG_193.mat,123,487,506,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_025.jpg,ShanghaiTech Part A,train,IMG_192.jpg,GT_IMG_192.mat,77,480,640,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_026.jpg,ShanghaiTech Part A,train,IMG_191.jpg,GT_IMG_191.mat,393,1024,682,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_027.jpg,ShanghaiTech Part A,train,IMG_190.jpg,GT_IMG_190.mat,270,1024,792,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_028.jpg,ShanghaiTech Part A,train,IMG_19.jpg,GT_IMG_19.mat,707,900,600,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_029.jpg,ShanghaiTech Part A,train,IMG_189.jpg,GT_IMG_189.mat,498,692,280,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_030.jpg,ShanghaiTech Part A,train,IMG_188.jpg,GT_IMG_188.mat,111,1024,649,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_031.jpg,ShanghaiTech Part A,train,IMG_187.jpg,GT_IMG_187.mat,408,1024,387,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_032.jpg,ShanghaiTech Part A,train,IMG_186.jpg,GT_IMG_186.mat,1655,460,653,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_033.jpg,ShanghaiTech Part A,train,IMG_185.jpg,GT_IMG_185.mat,978,583,800,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_034.jpg,ShanghaiTech Part A,train,IMG_184.jpg,GT_IMG_184.mat,1573,1024,617,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_035.jpg,ShanghaiTech Part A,train,IMG_183.jpg,GT_IMG_183.mat,600,1024,687,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_036.jpg,ShanghaiTech Part A,train,IMG_182.jpg,GT_IMG_182.mat,403,1024,680,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_037.jpg,ShanghaiTech Part A,train,IMG_181.jpg,GT_IMG_181.mat,690,1024,639,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_038.jpg,ShanghaiTech Part A,train,IMG_180.jpg,GT_IMG_180.mat,468,509,386,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_039.jpg,ShanghaiTech Part A,train,IMG_18.jpg,GT_IMG_18.mat,280,1024,793,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_040.jpg,ShanghaiTech Part A,train,IMG_179.jpg,GT_IMG_179.mat,341,1024,616,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_041.jpg,ShanghaiTech Part A,train,IMG_178.jpg,GT_IMG_178.mat,1157,1024,688,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_042.jpg,ShanghaiTech Part A,train,IMG_177.jpg,GT_IMG_177.mat,578,1024,768,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_043.jpg,ShanghaiTech Part A,train,IMG_176.jpg,GT_IMG_176.mat,423,594,380,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_044.jpg,ShanghaiTech Part A,train,IMG_175.jpg,GT_IMG_175.mat,175,640,360,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_045.jpg,ShanghaiTech Part A,train,IMG_174.jpg,GT_IMG_174.mat,168,1024,512,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_046.jpg,ShanghaiTech Part A,train,IMG_173.jpg,GT_IMG_173.mat,404,1024,512,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_047.jpg,ShanghaiTech Part A,train,IMG_172.jpg,GT_IMG_172.mat,321,1024,685,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_048.jpg,ShanghaiTech Part A,train,IMG_171.jpg,GT_IMG_171.mat,1411,600,351,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_049.jpg,ShanghaiTech Part A,train,IMG_170.jpg,GT_IMG_170.mat,754,722,480,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_050.jpg,ShanghaiTech Part A,train,IMG_17.jpg,GT_IMG_17.mat,287,600,478,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_051.jpg,ShanghaiTech Part A,train,IMG_169.jpg,GT_IMG_169.mat,269,800,649,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_052.jpg,ShanghaiTech Part A,train,IMG_168.jpg,GT_IMG_168.mat,915,1024,944,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_053.jpg,ShanghaiTech Part A,train,IMG_167.jpg,GT_IMG_167.mat,271,1024,830,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_054.jpg,ShanghaiTech Part A,train,IMG_166.jpg,GT_IMG_166.mat,899,1024,683,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_055.jpg,ShanghaiTech Part A,train,IMG_165.jpg,GT_IMG_165.mat,469,939,274,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_056.jpg,ShanghaiTech Part A,train,IMG_164.jpg,GT_IMG_164.mat,652,650,462,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_057.jpg,ShanghaiTech Part A,train,IMG_163.jpg,GT_IMG_163.mat,456,970,615,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_058.jpg,ShanghaiTech Part A,train,IMG_162.jpg,GT_IMG_162.mat,232,720,480,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_059.jpg,ShanghaiTech Part A,train,IMG_161.jpg,GT_IMG_161.mat,81,640,480,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_060.jpg,ShanghaiTech Part A,train,IMG_160.jpg,GT_IMG_160.mat,225,1024,540,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_061.jpg,ShanghaiTech Part A,train,IMG_16.jpg,GT_IMG_16.mat,161,1024,1024,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_062.jpg,ShanghaiTech Part A,train,IMG_159.jpg,GT_IMG_159.mat,238,400,267,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_063.jpg,ShanghaiTech Part A,train,IMG_158.jpg,GT_IMG_158.mat,321,1024,671,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_064.jpg,ShanghaiTech Part A,train,IMG_157.jpg,GT_IMG_157.mat,33,299,450,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_065.jpg,ShanghaiTech Part A,train,IMG_156.jpg,GT_IMG_156.mat,728,1024,625,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_066.jpg,ShanghaiTech Part A,train,IMG_155.jpg,GT_IMG_155.mat,413,620,409,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_067.jpg,ShanghaiTech Part A,train,IMG_154.jpg,GT_IMG_154.mat,211,624,416,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_068.jpg,ShanghaiTech Part A,train,IMG_153.jpg,GT_IMG_153.mat,706,600,400,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_069.jpg,ShanghaiTech Part A,train,IMG_152.jpg,GT_IMG_152.mat,442,800,600,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_070.jpg,ShanghaiTech Part A,train,IMG_151.jpg,GT_IMG_151.mat,992,716,449,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_071.jpg,ShanghaiTech Part A,train,IMG_150.jpg,GT_IMG_150.mat,989,970,450,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_072.jpg,ShanghaiTech Part A,train,IMG_15.jpg,GT_IMG_15.mat,165,1024,768,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_073.jpg,ShanghaiTech Part A,train,IMG_149.jpg,GT_IMG_149.mat,2072,1024,683,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_074.jpg,ShanghaiTech Part A,train,IMG_148.jpg,GT_IMG_148.mat,102,1024,680,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
crowd_075.jpg,ShanghaiTech Part A,train,IMG_147.jpg,GT_IMG_147.mat,369,1024,768,exact_sha256_hash,official_mat_annotation,VERIFIED,Exact bit-for-bit SHA-256 match to official dataset; zero cropping or modification
