Filename,Relative Path,Resolution,Format,Suitable For Eval,Ground Truth Status,Ground Truth Count,Ground Truth Source,Raw Detections Count,Predicted Count,Absolute Error,Percentage Error,Aux Precision,Aux Recall,Aux F1 Score,Reliability Score,Reliability Formatted,Density Value,Density Percentage,Density Score,Crowd Level,Runtime (ms),Status,Notes
asha 1.jpeg,testing images\figures\asha 1.jpeg,1280x960,.jpeg,YES,VERIFIED,35,Public assembly event view 1 human-annotated ground truth,25,25,10,28.57%,1.0000,0.7143,0.8333,0.7818,Count >= 25,0.3172,31.72%,3.17,Moderate,15470.01,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
asha 2.jpeg,testing images\figures\asha 2.jpeg,1280x960,.jpeg,YES,VERIFIED,36,Public assembly event view 2 human-annotated ground truth,24,21,15,41.67%,1.0000,0.5833,0.7368,0.7939,Count >= 21,0.3477,34.77%,3.48,Moderate,14359.46,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
pg mess.jpeg,testing images\figures\pg mess.jpeg,1600x1200,.jpeg,YES,VERIFIED,25,Indoor dining concourse human-annotated ground truth,5,5,20,80.00%,1.0000,0.2000,0.3333,0.8851,Count = 5,0.0711,7.11%,0.71,Undercrowded,14782.29,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
test_image1.jpg,testing images\figures\test_image1.jpg,1024x682,.jpg,YES,VERIFIED,110,Human-annotated railway platform benchmark (verified in evaluate_testing_images.py & run_benchmarking.py),111,111,1,0.91%,0.9910,1.0000,0.9955,0.6825,Count >= 111,0.4942,49.42%,4.94,Overcrowded,14412.93,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
train 1.png,testing images\figures\train 1.png,1536x1024,.png,YES,VERIFIED,63,Station boarding platform A human-annotated ground truth,60,60,3,4.76%,1.0000,0.9524,0.9756,0.7717,Count >= 60,0.2893,28.93%,2.89,Moderate,14436.79,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
train 2.png,testing images\figures\train 2.png,1536x1024,.png,YES,VERIFIED,64,Station boarding platform B human-annotated ground truth,63,63,1,1.56%,1.0000,0.9844,0.9921,0.7370,Count >= 63,0.2510,25.10%,2.51,Moderate,14414.29,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
train dense.png,testing images\figures\train dense.png,1536x1024,.png,YES,VERIFIED,110,High-density platform surge B human-annotated ground truth,128,128,18,16.36%,0.8594,1.0000,0.9244,0.7253,Count >= 128,0.4967,49.67%,4.97,Overcrowded,14514.13,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_001.jpg,testing images\figures\crowd_001.jpg,1000x749,.jpg,YES,VERIFIED,249,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_213.mat),84,83,166,66.67%,1.0000,0.3333,0.5000,0.7196,Count >= 83,0.6572,65.72%,6.57,Overcrowded,14223.83,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_002.jpg,testing images\figures\crowd_002.jpg,1024x688,.jpg,YES,VERIFIED,338,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_212.mat),162,158,180,53.25%,1.0000,0.4675,0.6371,0.6501,Count >= 158,0.7292,72.92%,7.29,Overcrowded,14454.05,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_003.jpg,testing images\figures\crowd_003.jpg,1024x334,.jpg,YES,VERIFIED,188,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_211.mat),28,28,160,85.11%,1.0000,0.1489,0.2593,0.6474,Count >= 28,0.3089,30.89%,3.09,Moderate,7470.61,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_004.jpg,testing images\figures\crowd_004.jpg,1024x768,.jpg,YES,VERIFIED,750,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_210.mat),24,23,727,96.93%,1.0000,0.0307,0.0595,0.7144,Count >= 23,0.4876,48.76%,4.88,Moderate,14116.34,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_005.jpg,testing images\figures\crowd_005.jpg,1024x766,.jpg,YES,VERIFIED,257,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_21.mat),64,62,195,75.88%,1.0000,0.2412,0.3887,0.7209,Count >= 62,0.8504,85.04%,8.50,Overcrowded,14307.13,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_006.jpg,testing images\figures\crowd_006.jpg,1000x619,.jpg,YES,VERIFIED,546,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_209.mat),41,41,505,92.49%,1.0000,0.0751,0.1397,0.5271,Count >= 41,0.1049,10.49%,1.05,Moderate,11065.44,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_007.jpg,testing images\figures\crowd_007.jpg,1024x683,.jpg,YES,VERIFIED,536,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_208.mat),40,39,497,92.72%,1.0000,0.0728,0.1357,0.6612,Count >= 39,0.3403,34.03%,3.40,Moderate,14283.71,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_008.jpg,testing images\figures\crowd_008.jpg,650x442,.jpg,YES,VERIFIED,131,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_207.mat),6,6,125,95.42%,1.0000,0.0458,0.0876,0.5752,Count >= 6,0.0141,1.41%,0.14,Undercrowded,14252.98,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_009.jpg,testing images\figures\crowd_009.jpg,1024x683,.jpg,YES,VERIFIED,311,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_206.mat),32,30,281,90.35%,1.0000,0.0965,0.1760,0.6587,Count >= 30,0.3187,31.87%,3.19,Moderate,14482.11,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_010.jpg,testing images\figures\crowd_010.jpg,1017x798,.jpg,YES,VERIFIED,137,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_205.mat),18,15,122,89.05%,1.0000,0.1095,0.1974,0.7544,Count >= 15,0.7499,74.99%,7.50,Overcrowded,13994.90,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_011.jpg,testing images\figures\crowd_011.jpg,1024x695,.jpg,YES,VERIFIED,549,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_204.mat),30,30,519,94.54%,1.0000,0.0546,0.1036,0.6616,Count >= 30,0.2259,22.59%,2.26,Moderate,14009.36,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_012.jpg,testing images\figures\crowd_012.jpg,1024x683,.jpg,YES,VERIFIED,1957,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_203.mat),23,23,1934,98.82%,1.0000,0.0118,0.0232,0.6257,Count >= 23,0.2164,21.64%,2.16,Moderate,14264.60,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_013.jpg,testing images\figures\crowd_013.jpg,800x530,.jpg,YES,VERIFIED,216,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_202.mat),76,75,141,65.28%,1.0000,0.3472,0.5155,0.6525,Count >= 75,0.5135,51.35%,5.13,Overcrowded,14439.66,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_014.jpg,testing images\figures\crowd_014.jpg,800x530,.jpg,YES,VERIFIED,445,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_201.mat),35,35,410,92.13%,1.0000,0.0787,0.1458,0.5352,Count >= 35,0.0806,8.06%,0.81,Undercrowded,14269.65,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_015.jpg,testing images\figures\crowd_015.jpg,760x500,.jpg,YES,VERIFIED,100,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_200.mat),22,21,79,79.00%,1.0000,0.2100,0.3471,0.6842,Count >= 21,0.7122,71.22%,7.12,Overcrowded,14270.25,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_016.jpg,testing images\figures\crowd_016.jpg,1024x688,.jpg,YES,VERIFIED,408,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_20.mat),28,27,381,93.38%,1.0000,0.0662,0.1241,0.6478,Count >= 27,0.5868,58.68%,5.87,Overcrowded,14494.06,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_017.jpg,testing images\figures\crowd_017.jpg,1024x713,.jpg,YES,VERIFIED,707,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_2.mat),54,52,655,92.64%,1.0000,0.0736,0.1370,0.6661,Count >= 52,0.3474,34.74%,3.47,Moderate,14144.08,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_018.jpg,testing images\figures\crowd_018.jpg,1024x505,.jpg,YES,VERIFIED,658,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_199.mat),74,74,584,88.75%,1.0000,0.1125,0.2022,0.6361,Count >= 74,0.4154,41.54%,4.15,Overcrowded,10915.08,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
crowd_019.jpg,testing images\figures\crowd_019.jpg,650x415,.jpg,YES,VERIFIED,351,Official ShanghaiTech ShanghaiTech Part A (train/GT_IMG_198.mat),7,7,344,98.01%,1.0000,0.0199,0.0391,0.6446,Count >= 7,0.3125,31.25%,3.13,Moderate,10591.69,SUCCESS,"Evaluated with YOLOv8s ONNX, conf=0.25, 640x640 tiled (overlap 128)"
